Song,Date,Spotify,TikTok Creates,YouTube
IJUST,07/27/2023,"223,509",17,"3,500"
ADDICTION,07/27/2023,"280,098",649,"60,000"
BEBE,07/27/2023,"377,692",408,"74,000"
NIKO BELLIC,07/27/2023,"116,727",6,"3,200"
GTG,07/27/2023,"104,482",28,"61,000"
The Hills (Intro),03/13/2020,"17,134","1,775","4,700"
SELLINDAT,04/28/2022,"112,097",30,"19,000"
SOLACE,07/28/2022,"71,147",30,"61,000"
BRAND NEW BIH,04/28/2022,"290,763",26,"57,000"
BOOTZBOTTEGA,05/11/2023,"105,012",23,"71,000"
