Song,Date,Spotify,YouTube,TikTok Creates
BEBE,07/27/2023,"377,692","74,000",408
ADDICTION,07/27/2023,"280,098","60,000",649
IJUST,07/27/2023,"223,509","3,500",17
NIKO BELLIC,07/27/2023,"116,727","3,200",6
GTG,07/27/2023,"104,482","61,000",28
The Hills (Intro),03/13/2020,"17,134","4,700","1,775"
SELLINDAT,04/28/2022,"112,097","19,000",30
SOLACE,07/28/2022,"71,147","61,000",30
BRAND NEW BIH,04/28/2022,"290,763","57,000",26
BOOTZBOTTEGA,05/11/2023,"105,012","71,000",23
