Name,Artist / Client,Artwork,Country,Date,Days To Go,Distributor,Focus Track,Format,Label,Location,Organisation,Press Release,Region,Release / Live Link,Type,Venue
More To Life,Moses Boyd (Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),,,"October 20, 2025",0,,,Single,,,,,,,Release,
Spring 2026 Tour Announcement,Moses Boyd (Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),,,"October 20, 2025",0,,,,,,,,,,Announcement,
Saviour – TBC,Moses Boyd (Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),,,"December 4, 2025",44,,,Single,,,,,,,Release,
Bratislava – Slovakia,Moses Boyd (Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),,,"October 24, 2025",3,,,,,,,,,,Live,
"Colours Festival – Paris, France",Moses Boyd (Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),,France,"October 25, 2025",4,,,,,Paris,,,,,Festival,Colours Festival
"Album Listening @ Space Talk, Q+A w/ Judah",Moses Boyd (Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),,,"October 26, 2025",5,,,,,,,,,,Activation,
"Säälchen – Berlin, Germany",Moses Boyd (Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),,Germany,"March 13, 2026",143,,,,,Berlin,,,,,Live,Säälchen
"Le Botanique – Brussels, Belgium",Moses Boyd (Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),,Belgium,"March 15, 2026",145,,,,,Brussels,,,,,Live,Le Botanique
"Tolhuistuin – Amsterdam, Netherlands",Moses Boyd (Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),,Netherlands,"March 16, 2026",146,,,,,Amsterdam,,,,,Live,Tolhuistuin
"Club Bahnhof Ehrenfeld – Cologne, Germany",Moses Boyd (Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),,Germany,"March 17, 2026",147,,,,,Cologne,,,,,Live,Club Bahnhof Ehrenfeld
"La Maroquinerie – Paris, France",Moses Boyd (Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),,France,"March 19, 2026",149,,,,,Paris,,,,,Live,La Maroquinerie
"Concorde 2 – Brighton, United Kingdom",Moses Boyd (Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),,United Kingdom,"March 21, 2026",151,,,,,Brighton,,,,,Live,Concorde 2
"Belgrave Music Hall – Leeds, United Kingdom",Moses Boyd (Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),,United Kingdom,"March 22, 2026",152,,,,,Leeds,,,,,Live,Belgrave Music Hall
"Band On The Wall – Manchester, United Kingdom",Moses Boyd (Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),,United Kingdom,"March 23, 2026",153,,,,,Manchester,,,,,Live,Band On The Wall
"Thekla – Bristol, United Kingdom",Moses Boyd (Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),,United Kingdom,"March 25, 2026",155,,,,,Brighton,,,,,Live,Thekla
"KOKO – London, United Kingdom",Moses Boyd (Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),,United Kingdom,"March 26, 2026",156,,,,,London,,,,,Live,KOKO
Songs For Sinners Album Announcement,Moses Boyd (Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),,,"December 4, 2025",44,,,,,,,,,,Announcement,
Songs For Sinners Album Release,Moses Boyd (Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),,,"January 30, 2026",101,,,Album,,,,,,,Release,
Track Release,Moses Boyd (Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),,,"January 16, 2026",87,,,Track,,,,,,,Release,
