Name,Artist / Client,Artwork,Country,Date,Days To Go,Distributor,Focus Track,Format,Label,Location,Organisation,Press Release,Region,Release / Live Link,Type,Venue
Bank Holiday (EU),,,,"May 6, 2028",928,,,,,,,,,,Key Holiday,
Columbus Day (USA),,,,"December 10, 2030",1876,,,,,,,,,,Key Holiday,
"
Boxing Day (UK)
",,,,"December 26, 2026",431,,,,,,,,,,Key Holiday,
President’s Day (USA),,,,"February 17, 2025",-245,,,,,,,,,,Key Holiday,
Summer Bank Holiday (UK),,,,"August 31, 2028",1045,,,,,,,,,,Key Holiday,
Thanksgiving (USA),,,,"November 27, 2025",37,,,,,,,,,,Key Holiday,
"
Christmas Day (Global)
",,,,"December 25, 2026",430,,,,,,,,,,Key Holiday,
"Good Friday (UK, EU)",,,,"April 19, 2030",1641,,,,,,,,,,Key Holiday,
Christmas Day (Global),,,,"December 25, 2027",795,,,,,,,,,,Key Holiday,
Labor Day (USA),,,,"September 1, 2025",-49,,,,,,,,,,Key Holiday,
Spring Bank Holiday (UK),,,,"May 25, 2029",1312,,,,,,,,,,Key Holiday,
Black Friday (USA),,,,"November 28, 2025",38,,,,,,,,,,Key Holiday,
Thanksgiving Day (USA),,,,"November 28, 2030",1864,,,,,,,,,,Key Holiday,
"
Ascension Day (EU)
",,,,"May 14, 2026",205,,,,,,,,,,Key Holiday,
Ascension Day (EU),,,,"May 25, 2028",947,,,,,,,,,,Key Holiday,
Columbus Day (USA),,,,"December 10, 2028",1146,,,,,,,,,,Key Holiday,
Summer Bank Holiday (UK),,,,"March 8, 2027",503,,,,,,,,,,Key Holiday,
Christmas Day (Global),,,,"December 25, 2029",1526,,,,,,,,,,Key Holiday,
Independence Day (USA),,,,"April 7, 2027",533,,,,,,,,,,Key Holiday,
Columbus Day (USA),,,,"October 13, 2025",-7,,,,,,,,,,Key Holiday,
Martin Luther King Jr. Day (USA),,,,"January 20, 2025",-273,,,,,,,,,,Key Holiday,
Corpus Christi (EU),,,,"June 20, 2030",1703,,,,,,,,,,Key Holiday,
Black Friday (USA),,,,"November 23, 2029",1494,,,,,,,,,,Key Holiday,
New Year's Day (Global),,,,"January 1, 2030",1533,,,,,,,,,,Key Holiday,
Thanksgiving Day (USA),,,,"November 22, 2029",1493,,,,,,,,,,Key Holiday,
Spring Bank Holiday (UK),,,,"May 25, 2030",1677,,,,,,,,,,Key Holiday,
Labor Day (USA),,,,"July 9, 2027",626,,,,,,,,,,Key Holiday,
Labor Day (USA),,,,"July 9, 2029",1357,,,,,,,,,,Key Holiday,
St Patrick’s Day (Rep. Ireland),,,,"March 17, 2025",-217,,,,,,,,,,Key Holiday,
Independence Day (USA),,,,"April 7, 2030",1629,,,,,,,,,,Key Holiday,
Columbus Day (USA),,,,"December 10, 2027",780,,,,,,,,,,Key Holiday,
Early May Bank Holiday (UK),,,,"April 5, 2027",531,,,,,,,,,,Key Holiday,
Black Friday (USA),,,,"November 29, 2030",1865,,,,,,,,,,Key Holiday,
Thanksgiving Day (USA),,,,"November 23, 2028",1129,,,,,,,,,,Key Holiday,
"
Ascension Day (EU)",,,,"May 29, 2025",-144,,,,,,,,,,Key Holiday,
Veterans Day (USA),,,,"November 11, 2027",751,,,,,,,,,,Key Holiday,
Columbus Day (USA),,,,"December 10, 2029",1511,,,,,,,,,,Key Holiday,
"
Labor Day (USA)
",,,,"September 7, 2026",321,,,,,,,,,,Key Holiday,
Ascension Day (EU),,,,"June 5, 2027",592,,,,,,,,,,Key Holiday,
"
Early May Bank Holiday (UK)
",,,,"May 4, 2026",195,,,,,,,,,,Key Holiday,
Corpus Christi (EU),,,,"June 15, 2028",968,,,,,,,,,,Key Holiday,
Thanksgiving Day (USA),,,,"November 25, 2027",765,,,,,,,,,,Key Holiday,
"Easter Monday (UK, EU)",,,,"February 4, 2029",1202,,,,,,,,,,Key Holiday,
Bank Holiday (UK),,,,"May 5, 2025",-168,,,,,,,,,,Key Holiday,
Boxing Day (UK),,,,"December 26, 2028",1162,,,,,,,,,,Key Holiday,
Summer Bank Holiday (UK),,,,"August 31, 2029",1410,,,,,,,,,,Key Holiday,
"
New Year’s Day (Global)
",,,,"January 1, 2026",72,,,,,,,,,,Key Holiday,
"Easter Monday (UK, EU)",,,,"March 29, 2027",524,,,,,,,,,,Key Holiday,
Early May Bank Holiday (UK),,,,"April 5, 2028",897,,,,,,,,,,Key Holiday,
Roskilde Festival,,,,"June 29, 2025 → July 6, 2025",-113,,,,,,,,,,Key Festival,
Pitchfork Music Festival,,,,"July 18, 2025 → July 20, 2025",-94,,,,,,,,,,Key Festival,
Primavera Sound,,,,"May 29, 2025 → June 2, 2025",-144,,,,,,,,,,Key Festival,
Sziget Festival,,,,"August 11, 2025 → August 16, 2025",-70,,,,,,,,,,Key Festival,
Lollapalooza Chicago,,,,"August 1, 2025 → August 3, 2025",-80,,,,,,,,,,Key Festival,
Electric Picnic,,,,"August 29, 2025 → August 31, 2025",-52,,,,,,,,,,Key Festival,
Stagecoach,,,,"May 25, 2025 → May 27, 2025",-148,,,,,,,,,,Key Festival,
TRNSMT Festival,,,,"July 11, 2025 → July 13, 2025",-101,,,,,,,,,,Key Festival,
Glastonbury,,,,"June 26, 2025 → June 29, 2025",-116,,,,,,,,,,Key Festival,
Sonar Festival,,,,"June 12, 2025 → June 15, 2025",-130,,,,,,,,,,Key Festival,
Outside Lands,,,,"August 8, 2025 → August 10, 2025",-73,,,,,,,,,,Key Festival,
Reading & Leeds Festival,,,,"August 22, 2025 → August 24, 2025",-59,,,,,,,,,,Key Festival,
Coachella,,,,"April 11, 2025 → April 13, 2025",-192,,,,,,,,,,Key Festival,
Laneway Festival,,,,"February 8, 2026 → February 16, 2026",110,,,,,,,,,,Key Festival,
Governors Ball,,,,"June 6, 2025 → June 8, 2025",-136,,,,,,,,,,Key Festival,
All Points East,,,,"August 15, 2025 → August 17, 2025",-66,,,,,,,,,,Key Festival,
Parklife,,,,"June 7, 2025 → June 8, 2025",-135,,,,,,,,,,Key Festival,
All Points East,,,,"August 22, 2025 → August 24, 2025",-59,,,,,,,,,,Key Festival,
Isle of Wight Festival,,,,"June 20, 2025 → June 22, 2025",-122,,,,,,,,,,Key Festival,
